Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-01 00:00:00-04:00,114.43053032893033,114.50834954010315,112.66991334832385,113.60372161865234,116120400,0.0,0.0
2020-10-02 00:00:00-04:00,109.81011856378328,112.2224621206602,109.1583993790266,109.93656921386719,144712000,0.0,0.0
2020-10-05 00:00:00-04:00,110.80228919258478,113.46753391146844,110.4521101876222,113.32162475585938,106243800,0.0,0.0
2020-10-06 00:00:00-04:00,112.54343507820363,112.95198215292027,109.18756197702983,110.07273864746094,161498200,0.0,0.0
2020-10-07 00:00:00-04:00,111.49292694400957,112.3975548762922,111.01628983580524,111.94037628173828,96849000,0.0,0.0
2020-10-08 00:00:00-04:00,113.07843627342072,113.22434541737783,111.46372127712412,111.83335876464844,83477200,0.0,0.0
2020-10-09 00:00:00-04:00,112.13492056450798,113.80799657332764,111.78474151981321,113.77881622314453,100506900,0.0,0.0
2020-10-12 00:00:00-04:00,116.78451886199376,121.76483761503933,116.0258000213685,121.00611877441406,240226800,0.0,0.0
2020-10-13 00:00:00-04:00,121.8523509831308,121.96907978641414,116.38568190119372,117.7961196899414,262330500,0.0,0.0
2020-10-14 00:00:00-04:00,117.69885586154554,119.67347184273211,116.35650794568298,117.88367462158203,150712000,0.0,0.0
2020-10-15 00:00:00-04:00,115.48104948176437,117.8933852834975,114.92660067544894,117.41675567626953,112559200,0.0,0.0
2020-10-16 00:00:00-04:00,117.97120175123152,118.23383968675911,115.56858783907589,115.77285766601562,115393800,0.0,0.0
2020-10-19 00:00:00-04:00,116.68722375774855,117.1346730450766,112.50454176511802,112.81581115722656,120639300,0.0,0.0
2020-10-20 00:00:00-04:00,113.02980416838349,115.73396585696945,112.47535532523321,114.30406951904297,124423700,0.0,0.0
2020-10-21 00:00:00-04:00,113.48697818121386,115.47132328298426,113.27297908868262,113.68152618408203,89946000,0.0,0.0
2020-10-22 00:00:00-04:00,114.24570410467129,114.81961147307034,111.4637305673421,112.59208679199219,101988000,0.0,0.0
2020-10-23 00:00:00-04:00,113.21461859214486,113.37025699470568,111.16218354117096,111.90145111083984,82572600,0.0,0.0
2020-10-26 00:00:00-04:00,110.8995361311753,113.37023973635687,109.80036048884763,111.91116333007812,111850700,0.0,0.0
